
Hello,Hello World!
who are you,I am a ChatBot running on Python and a dash of artificial intelligence.
what is the date,"Today is Monday, 5/25/2020"
cool,There are some things I just don't know about yet.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=cool'>cool</a>
you are nice,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=you are nice'>you are nice</a>
Hello,Hello World!
artificial intelligence,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=artificial intelligence'>artificial intelligence</a>
you seem nice,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=you seem nice'>you seem nice</a>
hello,Hello World!
what is your name,ChatBot.
how are you,I am a ChatBot running on Python and a dash of artificial intelligence.
you are nice,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=you are nice'>you are nice</a>
Hello,Hello World!
you are nice,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=you are nice'>you are nice</a>
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
you are nice,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=you are nice'>you are nice</a>
Hello,Hello World!
hello,Hello World!
hey,Hello World!
hi,Hello World!
I think you are great!,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=I think you are great!'>I think you are great!</a>
how are you today ?,I am a Chatbot.
It's nice to meet you.,I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=It's nice to meet you.'>It's nice to meet you.</a>
Hello,Hello to you!
It's nice to meet you.,It's nice to meet you too!
I think you are great!,That is nice of you to say!
I don't like you.,I'm sorry to hear that.
what is price of coffee today ?,I don't know.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=what is price of coffee today ?'>what is price of coffee today ?</a>
